标题／微博内容,信息属性,原创/转发,发布日期,原微博内容,认证类型,地域,城市,性别,全文内容,粉丝数,微博数,转,评,赞,话题,微博情绪,精准地域,中图地址,MD5-作者ID,MD5-mid,MD5-根微博mid,MD5-根微博用户UID,MD5-父微博ID,MD5-父微博用户ID,,bot
转发微博 ,非敏感,转发,10/13/2020 21:02,@洛城篮球 【湖人夺冠历程-中字】我们等了十年，就是想等一个机会，我们要争一口气，不是想证明我们有多了不起，只是想告诉大家失去的东西我们一定要拿回来!#湖人总冠军##湖人夺冠胡仁总灌君餐馆走红# http://t.cn/A6bKhbGp ??,普通,河南,郑州,男,转发微博 【原微博】 @洛城篮球 【湖人夺冠历程-中字】我们等了十年，就是想等一个机会，我们要争一口气，不是想证明我们有多了不起，只是想告诉大家失去的东西我们一定要拿回来!#湖人总冠军##湖人夺冠胡仁总灌君餐馆走红# http://t.cn/A6bKhbGp ??,264,1571,0,0,0,湖人总冠军;湖人夺冠胡仁总灌君餐馆走红,中性,其他, ,fef2c81c5b5a55e89d375bb01cbbab7e,8f7f15fbaab745137761976347a7b880,ee23ede43a739e09926b06f9ebe64c21,a61b316233796fdecb7109afe784fec7,ee23ede43a739e09926b06f9ebe64c21,a61b316233796fdecb7109afe784fec7,,1
转发微博 ,非敏感,转发,9/8/2020 9:32,@娱是乎 #乘风破浪的姐姐# 金晨、伊能静、张含韵这三位“姐姐”的表情，心情似乎一目了然啊？《乘风破浪的姐姐》成团之夜，李斯丹妮组晋级4个名额，最后只剩下金晨、伊能静和张含韵。当她们组最后一个名额——万茜领完奖后，镜头转向了剩下的这三位“姐姐”时，有一个镜头就是这样。金晨在发自内心地开心鼓掌，伊能静在强颜欢笑，张含韵眉眼间似乎充满了“意难平”！其实张含韵的综合能力并不弱，而且自从第七期节目“个人积分战”不负队长张雨绮的厚望，以147分的好成绩夺得了第一名之后，她的人气也冲上来了。然而没想到她们组的一直人气,普通,黑龙江,哈尔滨,男,转发微博 【原微博】 @娱是乎 #乘风破浪的姐姐# 金晨、伊能静、张含韵这三位“姐姐”的表情，心情似乎一目了然啊？《乘风破浪的姐姐》成团之夜，李斯丹妮组晋级4个名额，最后只剩下金晨、伊能静和张含韵。当她们组最后一个名额——万茜领完奖后，镜头转向了剩下的这三位“姐姐”时，有一个镜头就是这样。金晨在发自内心地开心鼓掌，伊能静在强颜欢笑，张含韵眉眼间似乎充满了“意难平”！其实张含韵的综合能力并不弱，而且自从第七期节目“个人积分战”不负队长张雨绮的厚望，以147分的好成绩夺得了第一名之后，她的人气也冲上来了。然而没想到她们组的一直人气不上不下、综合能力也不上不下的黄龄都晋级成团了，她却没能最终晋级成团。意难平啊！可惜了，张含韵多好的女团苗子啊！只不过“超级女声”出来的成员已经有李斯丹妮晋级成团了，她相比李斯丹妮来说，无论是个性，还是综合能力确实差了一点。,0,77,0,0,0,乘风破浪的姐姐,喜悦,其他,"[http://wx1.sinaimg.cn/bmiddle/7d7b9832ly1gig58saxhdj20qo0dhtb2.jpg""]""",fed56c250e30bb0d9e52c61265d4fa7a,ac892c57dd49964ed0b342020eefa279,826a6b3d0353c51d99b5772edbe956ad,22fa7b8e169d838dceb2e09e7b87534c,826a6b3d0353c51d99b5772edbe956ad,22fa7b8e169d838dceb2e09e7b87534c,,1
#娱乐[超话]##乘风破浪的姐姐黑马海报#很有姐姐的态度[good]宁静金晨孟佳郁可唯眼神很到位，张含韵仰头微笑反而有种特别的感觉~姐姐们今晚成团顺利[打call] ??,非敏感,原创,9/5/2020 5:45, ,橙V,广东,汕尾,女,#娱乐[超话]##乘风破浪的姐姐黑马海报#很有姐姐的态度[good]宁静金晨孟佳郁可唯眼神很到位，张含韵仰头微笑反而有种特别的感觉~姐姐们今晚成团顺利[打call] ??,632,1364,0,0,0,乘风破浪的姐姐黑马海报;娱乐[超话],喜悦,其他,"[http://wx3.sinaimg.cn/bmiddle/007lxC0Igy1gifc8712x6j30u01hchdt.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/007lxC0Igy1gifc89t7cnj30u01hchdt.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/007lxC0Igy1gifc8bx8e6j30u01hchdt.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/007lxC0Igy1gifc8ezyvcj30u01hchdt.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/007lxC0Igy1gifc8hmd3bj30u01hchdt.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/007lxC0Igy1gifc8jt52bj30u01hce81.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/007lxC0Igy1gifc8mclymj30u01hchdt.jpg""&&&&""http://wx2.sinaimg.cn/bmiddle/007lxC0Igy1gifc8oduonj30u01hce81.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/007lxC0Igy1gifc8rb74gj30u01hce81.jpg""]""",fed418cca16de2b4d06070972161bf38,2a082311b39f07856f45d8ad37f875ff,,,,,,0
回忆那场婚姻生活，她觉得两个人干得挺漂亮。「该干的都干了，特别尽兴。」 「尽兴」，对她太重要了。「他也是那样的一个人，我也是这样的一个人，我觉得这种情感质量、密度和质感都有，想起这一趟来，没白走。」 ,非敏感,转发,9/5/2020 18:03,@人物 【张雨绮：过河入林】《人物》八月刊封面，我们选择了@张雨绮。关于张雨绮的人生命题，是一只危险动物，踏入娱乐圈的丛林，遇到障碍，不被规训，依然能活出自我的故事。她不愿隐藏跌宕起伏的私人生活，不愿屈从于行业规则——做一个稳定、安全、可控的艺人。这种不屈最初给她带来了无穷无尽的麻烦 ，但把时间拉久一点，现在看来，她身上旺盛的生命力，是她在#乘风破浪的姐姐#的舞台上最吸引人的特质。#乘风破浪的姐姐成团之夜#  http://t.cn/A64VSRJX,普通,陕西, ,女,回忆那场婚姻生活，她觉得两个人干得挺漂亮。「该干的都干了，特别尽兴。」 「尽兴」，对她太重要了。「他也是那样的一个人，我也是这样的一个人，我觉得这种情感质量、密度和质感都有，想起这一趟来，没白走。」 【原微博】 @人物 【张雨绮：过河入林】《人物》八月刊封面，我们选择了@张雨绮。关于张雨绮的人生命题，是一只危险动物，踏入娱乐圈的丛林，遇到障碍，不被规训，依然能活出自我的故事。她不愿隐藏跌宕起伏的私人生活，不愿屈从于行业规则——做一个稳定、安全、可控的艺人。这种不屈最初给她带来了无穷无尽的麻烦 ，但把时间拉久一点，现在看来，她身上旺盛的生命力，是她在#乘风破浪的姐姐#的舞台上最吸引人的特质。#乘风破浪的姐姐成团之夜#  http://t.cn/A64VSRJX,152,794,0,0,0,乘风破浪的姐姐;乘风破浪的姐姐成团之夜,悲伤,其他, ,fed29f6f44b545ab324e2666adecba6a,aa475a2b06a36024deac6ad2809120f8,5e4856a6fe8906c3e7773966112d14f0,4d0aba5e668f9803da392bf9671d267f,a40eeaa4a9d891e34a669830f460e411,64ba38901c9c7fe39c5a686ff4de9ef7,,0
转发微博 ,非敏感,转发,10/12/2020 10:59,@新浪NBA Kobe！This is for you！#湖人总冠军# #这一冠为科比##致敬科比# ??,普通,广东, ,女,转发微博 【原微博】 @新浪NBA Kobe！This is for you！#湖人总冠军# #这一冠为科比##致敬科比# ??,198,1181,0,0,0,湖人总冠军;这一冠为科比;致敬科比,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/001TvsK6ly1gjmcjynepwj60iz0sgdq602.jpg""]""",feb4436d34a63bead998f397da2f578f,798274f6982d547309a5e11912688987,4368b940d34670c2ab91428f73603860,a9bfe903d5d483077b849857202045c2,4368b940d34670c2ab91428f73603860,a9bfe903d5d483077b849857202045c2,,1
发布了头条文章：《脱口秀大会总决赛，李雪琴没拿冠军啊》 http://t.cn/A64ktXrp ??,非敏感,原创,9/25/2020 10:27, ,橙V,云南,曲靖,男,发布了头条文章：《脱口秀大会总决赛，李雪琴没拿冠军啊》 http://t.cn/A64ktXrp ??,117,2524,0,0,0, ,愤怒,其他, ,fe6fd31731e183ae71c4908463671e7c,a8f44af42533202af7238e4ecb3364bf,,,,,,1
[困][熊猫]感觉自己不赞一个不行啊。[浪] ,非敏感,转发,10/13/2020 18:05,@李鑫一Rex 一个赛季结束了，湖人总冠军！！湖人总冠军！湖人总冠军！！????? ??,普通,广东,惠州,男,[困][熊猫]感觉自己不赞一个不行啊。[浪] 【原微博】 @李鑫一Rex 一个赛季结束了，湖人总冠军！！湖人总冠军！湖人总冠军！！????? ??,0,2805,0,0,0, ,悲伤,其他,"[http://wx1.sinaimg.cn/bmiddle/006m9KLkly1gjmg6c32vmj30ku112k1u.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/006m9KLkly1gjmg63m1z8j31hc0u0hbe.jpg""&&&&""http://wx3.sinaimg.cn/bmiddle/006m9KLkly1gjmg6l6x6dj30j60ny0wn.jpg""]""",fe30c70bd2396cc587bd77a311d484b1,021c4c43a13ca36bc74f91e58093078c,825c877fc7b61efaa24bb39892b26c3c,27c2ea1d02d4b71fa21e378051ce26c6,b18e2aeb26696108ec3390a0986b1b06,39726c2cbecbfe373a883f01482bb463,,0
[冲锋队员][浩克] ,非敏感,转发,10/14/2020 6:18,@全球体育速报 【#湖人飞抵洛杉矶# ！】湖人队的包机已从奥兰多飞抵洛杉矶，大批球迷前来接机！其中浓眉还表示：“我们马上会再来一年的（We’re gonna run it right back）”手握冠军奖杯的老詹，难耐激动的麦基… 再次恭喜湖人队时隔10年，重新捧起总冠军奖杯！http://t.cn/A6bo26M7 ??,普通,四川,眉山,女,[冲锋队员][浩克] 【原微博】 @全球体育速报 【#湖人飞抵洛杉矶# ！】湖人队的包机已从奥兰多飞抵洛杉矶，大批球迷前来接机！其中浓眉还表示：“我们马上会再来一年的（We’re gonna run it right back）”手握冠军奖杯的老詹，难耐激动的麦基… 再次恭喜湖人队时隔10年，重新捧起总冠军奖杯！http://t.cn/A6bo26M7 ??,2,198,0,0,0,湖人飞抵洛杉矶,喜悦,其他, ,fe2b5b34db842a7dcbfacaaf30528b14,1327c4d50bb0d13d5801a2adaecec463,cf05503d18490a70865d47dc4d2b7763,7d3d97ba9e6d7794e459eeaddc1ed198,cf05503d18490a70865d47dc4d2b7763,7d3d97ba9e6d7794e459eeaddc1ed198,,0
[好爱哦]//@用户7472381350会飞的鱼:转发微博 ,非敏感,转发,10/14/2020 1:25,@时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??,普通,黑龙江, ,女,[好爱哦]//@用户7472381350会飞的鱼:转发微博 【原微博】 @时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??,0,3167,0,0,0,湖人总冠军;爱豆V力量;拍一张名叫快乐的照片,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/006K3Bq7ly1gjmq6sgr7jj30xc0hgq81.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/006K3Bq7ly1gjmq7ebyu4j31ng2iqqob.jpg""]""",fdfa917f3a032509f24a7b78373a64c3,d42d454bcc2f59455b855fd1cd15c0ae,71c9c8e4e7495dea7f6dbe3104a08f9c,88947c0e2ed2d74c86caac169d9079dd,fef8fae5e61fd758036ec4d325ef5341,150ec83b3e4f0528ea92b63a826ec398,,1
[兔子]//@用户7472381350会飞的鱼:转发微博 ,非敏感,转发,10/13/2020 11:16,@时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??,普通,黑龙江, ,男,[兔子]//@用户7472381350会飞的鱼:转发微博 【原微博】 @时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??,0,2125,0,0,0,湖人总冠军;爱豆V力量;拍一张名叫快乐的照片,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/006K3Bq7ly1gjmq6sgr7jj30xc0hgq81.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/006K3Bq7ly1gjmq7ebyu4j31ng2iqqob.jpg""]""",fdad4d79a3e2f4c7952d227249624ed4,4f8308bbd3847e278e033f48c1a5b7b8,71c9c8e4e7495dea7f6dbe3104a08f9c,88947c0e2ed2d74c86caac169d9079dd,edcbbf2f203b325307c46ecc8e7d7324,150ec83b3e4f0528ea92b63a826ec398,,1
[二哈]//@用户7472381350会飞的鱼:转发微博 ,非敏感,转发,10/14/2020 1:24,@时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??,普通,黑龙江, ,男,[二哈]//@用户7472381350会飞的鱼:转发微博 【原微博】 @时代少年团-刘耀文 #湖人总冠军#老詹永远滴神！！！湖人总冠军??#爱豆V力量#?#拍一张名叫快乐的照片# ??,0,2125,0,0,0,湖人总冠军;爱豆V力量;拍一张名叫快乐的照片,喜悦,其他,"[http://wx4.sinaimg.cn/bmiddle/006K3Bq7ly1gjmq6sgr7jj30xc0hgq81.jpg""&&&&""http://wx4.sinaimg.cn/bmiddle/006K3Bq7ly1gjmq7ebyu4j31ng2iqqob.jpg""]""",fdad4d79a3e2f4c7952d227249624ed4,a0b98da5ac4fb661a04fb810888262bc,71c9c8e4e7495dea7f6dbe3104a08f9c,88947c0e2ed2d74c86caac169d9079dd,fef8fae5e61fd758036ec4d325ef5341,150ec83b3e4f0528ea92b63a826ec398,,1
我自信 我已经做好准备 http://t.cn/A64f1UgT ,非敏感,转发,9/4/2020 23:52,@陈秋欤 #乘风破浪的姐姐成团之夜#喜欢30+姐姐们的冲劲，不为取悦别人，只为成为自己的光。就像片子里，戴牙套，笑着拍婚纱照的女孩，觉得她真的做到了“爱人之前，先爱自己”。只有真正地爱自己，才会接受和正视自己的不完美，才会去改变，成为自己想要的样子，也活成自己的光。希望每一个女孩，在对TA说“我愿意”之前，先对自己说，“我可以了”。#美有什么不可以# #新氧致敬乘风破浪的姐姐#http://t.cn/A64f7CLg,普通,福建,福州,女,我自信 我已经做好准备 http://t.cn/A64f1UgT 【原微博】 @陈秋欤 #乘风破浪的姐姐成团之夜#喜欢30+姐姐们的冲劲，不为取悦别人，只为成为自己的光。就像片子里，戴牙套，笑着拍婚纱照的女孩，觉得她真的做到了“爱人之前，先爱自己”。只有真正地爱自己，才会接受和正视自己的不完美，才会去改变，成为自己想要的样子，也活成自己的光。希望每一个女孩，在对TA说“我愿意”之前，先对自己说，“我可以了”。#美有什么不可以# #新氧致敬乘风破浪的姐姐#http://t.cn/A64f7CLg,98,7547,0,0,0,新氧致敬乘风破浪的姐姐;乘风破浪的姐姐成团之夜;美有什么不可以,悲伤,其他, ,fd9496b16962d0efa5ab2217482e46c9,7e8b3f6107225c76394fe46f60bc21c0,0cb625c80f6ba54f97b1583a8c8bbd27,9eb363eed6e62d0e3a8aa9f0a939d9f2,0cb625c80f6ba54f97b1583a8c8bbd27,9eb363eed6e62d0e3a8aa9f0a939d9f2,,1
嗨22岁了不起啦 ,非敏感,转发,9/4/2020 20:55,@沸点娱乐 蔡徐坤《情人》，乘风破浪的姐姐原创制作人蔡徐坤，蔡徐坤双人舞，这舞台太迷人了[抓狂][抓狂]#想魂穿蔡徐坤的伴舞# @蔡徐坤#乘风破浪的姐姐成团之夜节目单#   http://t.cn/A64ffrgY ??,普通,广东,江门,女,嗨22岁了不起啦 【原微博】 @沸点娱乐 蔡徐坤《情人》，乘风破浪的姐姐原创制作人蔡徐坤，蔡徐坤双人舞，这舞台太迷人了[抓狂][抓狂]#想魂穿蔡徐坤的伴舞# @蔡徐坤#乘风破浪的姐姐成团之夜节目单#   http://t.cn/A64ffrgY ??,13,22,0,0,1,乘风破浪的姐姐成团之夜节目单;想魂穿蔡徐坤的伴舞,喜悦,其他, ,fd18138d32fcbabe47d503cda73245f8,21d6ca2a8919adc8d22558d8a37348f5,63e12e6c09a69ca410e14e0f0785197d,4c43306dcb1813fea2a5f0f0c50f6a20,63e12e6c09a69ca410e14e0f0785197d,4c43306dcb1813fea2a5f0f0c50f6a20,,0
转发微博 ,非敏感,转发,10/12/2020 10:36,@虎扑篮球 詹姆斯4次常规赛MVP和4次总决赛MVP，仅次于乔丹湖人今天以106-93力克热火，大比分4-2夺得NBA总冠军。湖人前锋勒布朗-詹姆斯荣膺总决赛MVP，这样詹姆斯就坐拥四次常规赛MVP和4次总决赛MVP。詹姆斯也成为了除迈克尔-乔丹外唯一一位至少四次常规赛MVP和四次总决赛MVP的球员，乔丹5次常规赛MVP和6次总决赛MVP。#上虎扑看篮球新闻#,普通,安徽,铜陵,男,转发微博 【原微博】 @虎扑篮球 詹姆斯4次常规赛MVP和4次总决赛MVP，仅次于乔丹湖人今天以106-93力克热火，大比分4-2夺得NBA总冠军。湖人前锋勒布朗-詹姆斯荣膺总决赛MVP，这样詹姆斯就坐拥四次常规赛MVP和4次总决赛MVP。詹姆斯也成为了除迈克尔-乔丹外唯一一位至少四次常规赛MVP和四次总决赛MVP的球员，乔丹5次常规赛MVP和6次总决赛MVP。#上虎扑看篮球新闻#,437,1930,0,0,0,上虎扑看篮球新闻,中性,其他,"[http://wx1.sinaimg.cn/bmiddle/001N8TbXly1gjmchx7f4nj60go0gotaj02.jpg""]""",fd018da20776b011450a4872f6892073,79497d14bcdabb28c4ffc928b9728256,54b0a69d86ecf26c4197c3fa29f0a5b4,37dcab3e9354825d8e062218f0325e07,54b0a69d86ecf26c4197c3fa29f0a5b4,37dcab3e9354825d8e062218f0325e07,,1
